colors,R,G,B
블랙,0,0,0
화이트,255,255,255
베이지,250,231,196
그레이,128,128,128
차콜,68,68,69
아이보리,255,248,217
라이트 그레이,192,192,192
레드,235,51,36
버건디,128,0,32
핑크,255,192,203
오렌지,238,100,35
카멜,191,138,61
마젠타,214,0,110
코랄,255,160,122
옐로,255,255,0
레몬,255,255,153
머스타드,234,170,0
브라운,139,69,19
모카,210,180,140
올리브,128,128,0
카키,70,86,38
그린,15,111,14
민트,149,208,171
딥그린,2,48,32
터쿼이즈,64,224,208
라임,206,250,6
바이올렛,138,43,226
퍼플,128,0,128
라벤더,156,129,187
블루,15,69,188
스카이블루,135,206,250
네이비,0,0,128
