colors,R,G,B
#031E51,3,30,81
#00129D,0,18,157
#001A7B,0,26,123
#001D68,0,29,104
#00204E,0,32,78
#002065,0,32,101
#002252,0,34,82
#002280,0,34,128
#00234C,0,35,76
#00237E,0,35,126
#002569,0,37,105
#00267F,0,38,127
#002740,0,39,64
#002830,0,40,48
#002A46,0,42,70
#002B5F,0,43,95
#002D62,0,45,98
#002F5D,0,47,93
#003066,0,48,102
#003082,0,48,130
#003151,0,49,81
#003440,0,52,64
#00344D,0,52,77
#003580,0,53,128
#003596,0,53,150
#0035AD,0,53,173
#003798,0,53,152
#003947,0,57,71
#003A4F,0,58,79
#003B6F,0,59,111
#003C79,0,60,121
#003E51,0,62,81
#004159,0,65,89
#004236,0,66,54
#00423C,0,66,60
#00436E,0,67,110
#004650,0,70,80
#004731,0,71,49
#0047B6,0,71,182
#0047BE,0,71,190
#00496E,0,73,110
#004A41,0,74,65
#004F5D,0,79,93
#00524D,0,82,77
#00529B,0,82,155
#00533E,0,83,62
#0053A5,0,83,165
#005883,0,88,131
#005A53,0,90,83
#005BC3,0,91,195
#006068,0,96,104
#0060A1,0,96,161
#006233,0,98,51
#00625A,0,98,90
#00626E,0,98,110
#00628C,0,98,140
#006644,0,102,68
#006651,0,102,81
#00667C,0,102,124
#006685,0,102,133
#006752,0,103,82
#0067C6,0,103,198
#006A4E,0,106,78
#006F7A,0,111,122
#0070B2,0,112,178
#0070B2,0,112,178
#007168,0,113,104
#007229,0,114,41
#0076CC,0,118,204
#00774B,0,119,75
#007770,0,119,112
#0077D4,0,119,212
#007856,0,120,86
#007A97,0,122,151
#007B63,0,123,99
#007C6F,0,124,111
#007CA4,0,124,164
#007E3A,0,126,58
#007E64,0,126,100
#007FAC,0,127,172
#008193,0,129,147
#008478,0,132,120
#008480,0,132,128
#008579,0,133,121
#0085C2,0,133,194
#0092BA,0,146,189
#0092C7,0,146,199
#0092DD,0,146,221
#009384,0,147,132
#009460,0,148,96
#009530,0,149,48
#009543,0,149,67
#0097AC,0,15,172
#009878,0,152,120
#00997A,0,153,122
#009ACF,0,154,207
#009EC0,0,158,192
#00A0E2,0,160,226
#00A19C,0,161,156
#00A2E1,0,162,225
#00A7D4,0,167,212
#00A7D8,0,167,216
#00A994,0,169,148
#00AB39,0,171,57
#00AE68,0,174,104
#00AE97,0,174,151
#00AECE,0,174,206
#00AFAD,0,175,173
#00B08B,0,176,139
#00B09D,0,176,157
#00B2DE,0,178,222
#00B5E6,0,181,230
#00BAB9,0,186,185
#00C2B6,0,194,182
#00C2E3,0,194,227
#00C4DC,0,196,220
#00C590,0,197,144
#02253A,2,37,58
#032D23,3,45,35
#0B2345,11,35,69
#0F4D2A,15,77,42
#0F6259,15,98,89
#11568C,17,86,140
#12AD2B,18,173,43
#13694E,19,105,78
#151C55,21,28,85
#151D71,21,29,113
#183533,24,53,51
#18453B,24,69,59
#18472C,24,71,44
#193025,25,48,37
#1A1C96,26,28,150
#1B0069,27,0,105
#1B0C55,27,12,85
#1B3930,27,57,48
#1D1157,29,17,87
#1E22AE,30,34,174
#1F211C,31,33,28
#1F5647,31,86,71
#211265,33,18,101
#212424,33,36,36
#212930,33,41,48
#214232,33,66,50
#22007A,34,0,122
#22483F,34,72,63
#241A44,36,26,68
#24604A,36,96,74
#25177A,37,23,122
#253355,37,51,85
#262A39,38,42,57
#280092,40,0,146
#289728,40,151,40
#293F6F,41,63,111
#296DC1,41,109,193
#2A254B,42,37,75
#2A568F,42,86,143
#2F8927,47,137,39
#317023,49,112,35
#323532,50,53,50
#32D4CB,50,212,203
#36CCDA,54,204,218
#372B27,55,43,39
#381D59,59,29,89
#3878DB,56,120,219
#392E2C,57,46,44
#3B0084,59,0,132
#3BD6B2,59,214,178
#3C5B59,60,91,89
#3D4242,61,66,66
#3E4723,62,71,35
#3E647E,62,100,126
#404616,64,70,22
#404F24,64,79,36
#40BDE8,64,189,232
#414B56,65,75,86
#4189DD,65,137,221
#41D2D2,65,210,210
#42B4E6,66,180,230
#43125F,67,18,95
#432C5F,67,44,95
#433B67,67,59,103
#43C4B7,67,196,183
#43D9C7,67,217,199
#441E1F,68,30,31
#443535,68,53,53
#452663,69,38,99
#45293B,69,41,59
#4555C7,69,85,199
#473E26,71,62,38
#47C7C7,71,199,199
#48B8D2,72,184,210
#4A217E,74,33,126
#4A601C,74,96,28
#4A6D62,74,109,98
#4B0B71,75,11,113
#4B253E,75,37,62
#4B2A46,75,42,70
#4B4516,75,69,22
#4D4325,77,67,37
#4D5A12,77,90,18
#4E2029,78,32,41
#4E2614,78,38,20
#4E2A28,78,42,40
#4F027C,79,2,124
#4F1F91,79,31,145
#4F2248,79,34,72
#4F5559,79,85,89
#4F8A10,79,138,16
#4F8D97,79,141,151
#4FA600,79,166,0
#51260B,81,38,11
#51265A,81,38,90
#513127,81,49,39
#513E3E,81,62,62
#514826,81,72,38
#518274,81,130,116
#532821,83,40,33
#53CAEB,83,202,235
#547ED9,84,126,217
#55BE47,85,190,71
#563F23,86,63,35
#56595C,86,89,92
#56732E,86,115,46
#572458,87,36,88
#57527E,87,82,126
#5781AE,87,129,174
#581963,88,25,99
#587993,88,121,147
#59058D,89,5,141
#591E55,89,30,85
#5998C9,89,152,201
#5A272A,90,39,42
#5A2D5F,90,45,95
#5A5B51,90,91,81
#5A7060,90,112,96
#5B97B1,91,151,177
#5BC8E7,91,200,231
#5BDD45,91,221,69
#5D4718,93,71,24
#5E2728,94,39,40
#5E2F24,94,47,36
#5E3A51,94,58,81
#5E53C7,94,83,199
#5E6639,94,102,57
#5EC998,94,201,152
#5F1D5F,95,29,95
#60244E,96,36,78
#605A12,96,90,18
#611774,97,23,116
#61207F,97,32,127
#613418,97,52,24
#613517,97,53,23
#616A74,97,106,116
#624A7E,98,74,126
#62524E,98,82,72
#627D7C,98,125,124
#62B4E8,98,180,232
#62BD19,98,189,25
#64300A,100,48,10
#645A50,100,90,80
#655415,101,84,21
#668E3C,102,142,60
#66CFE6,102,207,230
#6732BA,103,50,186
#679000,103,144,0
#68177F,104,23,127
#682F73,104,47,115
#68322E,104,50,46
#6A1A7A,106,26,122
#6A1D44,106,29,68
#6A2E22,106,46,34
#6A5B07,106,91,7
#6AB2E7,106,178,231
#6ADCA2,106,220,162
#6C193F,108,25,63
#6C1B72,108,27,114
#6C4713,108,71,19
#6C8072,108,128,114
#6CABE7,108,171,231
#6D2348,109,35,72
#6D4921,109,73,33
#6E20A0,110,32,160
#6E2639,110,38,57
#6E6A12,110,106,18
#6E6F64,110,111,100
#6E7649,110,118,73
#6E8D82,110,141,130
#6E96D5,110,150,213
#6F3014,111,48,20
#6F732D,111,115,45
#6F8DB9,111,141,185
#6FD2E4,111,210,228
#70266C,112,38,108
#703222,112,50,34
#704165,112,65,101
#715821,113,88,33
#715913,133,89,19
#723629,114,54,41
#72B8B4,114,184,180
#7498C0,116,152,192
#74A18E,116,161,142
#752641,117,38,65
#75D9D8,117,217,216
#763931,118,57,49
#767A7D,118,122,125
#76B900,118,185,0
