colors,R,G,B,color_mapped
#FF91AF,255,145,17,머스타드
#FFAA1D,255,170,29,머스타드
#FFBF00,255,191,0,머스타드
#FF7E00,255,126,0,오렌지
#FF9966,255,153,102,코랄
#FFE4C4,255,228,196,베이지
#FF0800,255,8,0,레드
#FEFEFA,254,254,250,화이트
#FF3800,255,56,0,레드
#FFEBCD,255,235,205,베이지
#FF55A3,255,85,163,코랄
#FE6F5E,254,111,94,코랄
#FFF600,255,246,0,옐로
#FFEF00,255,239,0,옐로
#FFA6C9,255,166,201,핑크
#FFFF99,255,255,153,레몬
#FFB7C5,255,183,197,핑크
#FF7F50,255,127,80,코랄
#FFB200,255,178,0,머스타드
#FFA700,255,167,0,머스타드
#FFD300,255,211,0,옐로
#FF1493,255,20,147,마젠타
#FDEE00,253,238,0,옐로
#FAE7B5,250,231,181,베이지
#FFBCD9,255,188,217,핑크
#FFFDD0,255,253,208,아이보리
#FFF8E7,255,248,231,아이보리
#FFF8DC,255,248,220,아이보리
#FF8C00,255,140,0,머스타드
#FF9933,255,153,51,머스타드
#FFFAF0,255,250,240,화이트
#FF5470,255,84,112,코랄
#FD6C9E,253,108,158,코랄
#FF00FF,255,0,255,바이올렛
#FD3F92,253,63,146,마젠타
#FAEBD7,250,235,215,아이보리
#FAF0BE,250,240,190,베이지
#FB607F,251,96,127,코랄
#FBCEB1,251,206,177,핑크
#FBEC5D,251,236,93,레몬
#F88379,248,131,121,코랄
#F5F5F5,245,245,245,화이트
#EFBBCC,239,187,204,핑크
#F7E7CE,247,231,206,베이지
#FB0081,251,0,129,마젠타
#FAD6A5,250,214,165,베이지
#F88379,248,131,121,코랄
#F1DDCF,241,221,207,베이지
#F4C2C2,244,194,194,핑크
#F5F5DC,245,245,220,아이보리
#F64A8A,246,74,138,마젠타
#F56FA1,245,111,161,코랄
#F0FFFF,240,255,255,화이트
#F0F8FF,240,248,255,화이트
#F400A1,244,0,161,마젠타
#EFDECD,239,222,205,베이지
#F0EAD6,240,234,214,아이보리
#EFDFBB,239,223,187,베이지
#F19CBB,241,156,187,핑크
#F0DC82,240,220,130,레몬
#EDC9AF,237,201,175,핑크
#ED872D,237,135,45,오렌지
#E9D66B,233,214,107,모카
#E95C4B,233,92,75,오렌지
#EDEAE0,237,234,224,아이보리
#ED9121,237,145,33,머스타드
#EEDC82,238,220,130,레몬
#E97451,233,116,81,오렌지
#E30022,227,0,34,레드
#E9967A,233,150,122,코랄
#E25822,226,88,34,오렌지
#E3DAC9,227,218,201,베이지
#E52B50,229,43,80,레드
#E936A7,233,54,167,마젠타
#E48400,228,132,0,머스타드
#E68FAC,230,143,172,모카
#E4717A,228,113,122,코랄
#E5AA70,229,170,112,코랄
#E4D00A,228,208,10,머스타드
#E34234,227,66,52,레드
#E03C31,224,60,49,레드
#DC143C,220,20,60,레드
#E1A95F,225,169,95,코랄
#DE6FA1,222,111,161,코랄
#DE5D83,222,93,131,코랄
#DFFF00,223,255,0,라임
#DEB887,222,184,135,모카
#DE3163,222,49,99,마젠타
#DA1884,218,24,132,마젠타
#DE5285,222,82,133,코랄
#DA3287,218,50,135,마젠타
#D2691E,210,105,30,오렌지
#D891EF,216,145,239,라이트 그레이
#D71868,215,24,104,마젠타
#D70040,215,0,64,마젠타
#DA8A67,218,138,103,코랄
#D3212D,211,33,45,레드
#D473D4,212,115,212,라벤더
#D2691E,210,105,30,오렌지
#D0FF14,208,255,20,라임
#C95A49,201,90,73,카멜
#C19A6B,193,154,107,모카
#CC5500,204,85,0,오렌지
#C72C48,199,44,72,레드
#C9FFE5,201,255,229,아이보리
#CAE00D,202,224,13,라임
